county,year,litter,recycled,dumps,county_rd_miles,state_rd_miles
Anderson,2019-2020,49916,39523,0,31.35833333,9.191666667
Anderson,2020-2021,35852,24566,31,17.65833333,9.35
Anderson,2021-2022,35312,30214,76,19.96666667,9
Anderson,2022-2023,30720,16864,55,18.825,11.33333333
Anderson,2023-2024,52969,18297,92,17.60833333,15
Bedford,2019-2020,74672,31011,0,92.68166667,0
Bedford,2020-2021,45605,11667,0,38.0175,0
Bedford,2021-2022,58605,15025,10,56.5825,0
Bedford,2022-2023,108140.35,43585,37,87.63083333,0
Bedford,2023-2024,165960,50595,24,109.94,0
Benton,2019-2020,37060,3056,39,12.45833333,3.654166667
Benton,2020-2021,46940,0,71,18.07083333,7.079166667
Benton,2021-2022,38984,0,1,27.22083333,5.508333333
Benton,2022-2023,26640,1,5,10.8875,1.908333333
Benton,2023-2024,16882.56,0,3,18.7625,0.2
Bledsoe,2019-2020,55698,7342,0,1366.333333,0
Bledsoe,2020-2021,51847,5099,0,1242,0
Bledsoe,2021-2022,87772,5097,2,1529,0
Bledsoe,2022-2023,49947,4423,0,1359.166667,0
Bledsoe,2023-2024,48682,6942,0,1106.916667,0
Blount,2019-2020,394400,0,110,88.58333333,9.75
Blount,2020-2021,470200,0,139,69.6,5.5
Blount,2021-2022,432340,0,153,68.14166667,4.9375
Blount,2022-2023,612160,0,137,84.95833333,13.91666667
Blount,2023-2024,384570,0,114,60.83333333,5.916666667
Bradley,2019-2020,229420,19790,2,281.6666667,140.5833333
Bradley,2020-2021,232000,20030,0,396.6666667,177.5
Bradley,2021-2022,159580,11110,0,416.0833333,185
Bradley,2022-2023,180012,34000,10,454,172.6666667
Bradley,2023-2024,195720,13020,2,509.75,178.5833333
Campbell,2019-2020,74040,69720,50,25.95833333,9
Campbell,2020-2021,61680,61680,53,28.58333333,3.291666667
Campbell,2021-2022,56340,56340,28,32.04166667,2.875
Campbell,2022-2023,68000,62285,36,34.95833333,3.958333333
Campbell,2023-2024,88580,90205,44,38.65833333,4.5
Cannon,2019-2020,68940,4,5,828.5833333,0
Cannon,2020-2021,62480,0,0,623.25,0
Cannon,2021-2022,66750,0,5,723.9166667,0
Cannon,2022-2023,56850,0,0,698.3333333,0
Cannon,2023-2024,59200,0,0,701.5833333,0
Carroll,2019-2020,78240.68,315,16,12.125,0
Carroll,2020-2021,11920,288,11,17.26666667,0
Carroll,2021-2022,5830.6,162,13,11.03666667,0
Carroll,2022-2023,28120,218,4,28.39916667,0
Carroll,2023-2024,0,0,0,0,0
Carter,2019-2020,65942,70752,20,855.625,0
Carter,2020-2021,69100,60267,54,518.9166667,36.16666667
Carter,2021-2022,23680,9520,21,79.66666667,0
Carter,2022-2023,151810,151810,92,147.75,0
Carter,2023-2024,179980,151680,73,96.91666667,9.333333333
Cheatham,2019-2020,135044,0,316,1219.583333,1515.175
Cheatham,2020-2021,133900,0,333,429.75,1154.083333
Cheatham,2021-2022,158376,0,366,709.4166667,1257.166667
Cheatham,2022-2023,139850,0,257,779.75,801.0833333
Cheatham,2023-2024,108830,0,101,470.4166667,447.25
Chester,2019-2020,106520,2639,45,163.8333333,0
Chester,2020-2021,93100,2120,24,68.45833333,0
Chester,2021-2022,80861,2401,12,43.66666667,0
Chester,2022-2023,64712,691,15,51.16666667,0
Chester,2023-2024,50937,1110,9,47.625,0
Claiborne,2019-2020,557460,20962,15,873.4166667,761.8333333
Claiborne,2020-2021,274240,20898,2,783.1666667,582.9166667
Claiborne,2021-2022,324960,23930,6,815.25,772.6666667
Claiborne,2022-2023,348000,24015,0,661.0833333,1090.083333
Claiborne,2023-2024,397320,23973,0,739.25,1105.25
Clay,2019-2020,6678,2797,0,91,0
Clay,2020-2021,1155,1421,0,123.5,0
Clay,2021-2022,600,751,0,88.5,0
Clay,2022-2023,656,655,1,83.41666667,5.583333333
Clay,2023-2024,474,787,0,65.66666667,0
Cocke,2019-2020,130960,179600,18,42.41666667,3.708333333
Cocke,2020-2021,185559,161462,35,44.39166667,0
Cocke,2021-2022,454132.5,305147.5,44,27.68333333,0
Cocke,2022-2023,359959,359959,17,22.64166667,8.716666667
Cocke,2023-2024,219144,3460,20,19.075,11.24166667
Coffee,2019-2020,245560,48,0,42.64083333,0
Coffee,2020-2021,217462,21,0,41.71666667,0
Coffee,2021-2022,233560,0,0,40.55083333,0
Coffee,2022-2023,224960,0,0,42.3925,0
Coffee,2023-2024,223540,0,0,38.80666667,0
Crockett,2019-2020,12634,4075,1,260.5,0.833333333
Crockett,2020-2021,5799,2730,1,248.25,0
Crockett,2021-2022,6939,4220,0,279.8333333,0
Crockett,2022-2023,4990.25,2670,2,331.5,0
Crockett,2023-2024,5195,3230,2,366.5833333,0
Cumberland,2019-2020,119100,119100,95,722.5,0
Cumberland,2020-2021,140530,146969,87,605,0
Cumberland,2021-2022,167780,174080,81,605,0
Cumberland,2022-2023,151415,149285,61,555,0
Cumberland,2023-2024,126850,130575,63,480,0
Davidson,2019-2020,4633640,0,0,10721.33333,0
Davidson,2020-2021,3458140,0,0,8073.041667,0
Davidson,2021-2022,2920500,0,0,5786.583333,0
Davidson,2022-2023,3915460,0,0,7733.166667,0
Davidson,2023-2024,4504900,0,0,7777,0
DeKalb,2019-2020,203760,64280,0,487.2833333,0
DeKalb,2020-2021,268225,0,0,652.6666667,0
DeKalb,2021-2022,165250,0,0,404.825,0
DeKalb,2022-2023,241622,0,2,439.7916667,25.25
DeKalb,2023-2024,316300,0,0,735.7775,1912.5
Decatur,2019-2020,66009,58584,2,67.6975,0
Decatur,2020-2021,70620,70620,0,90.98416667,6.9325
Decatur,2021-2022,84606,84606,0,157.6783333,0
Decatur,2022-2023,133970,133970,0,199.1316667,4.4
Decatur,2023-2024,69697,69697,0,165.2758333,6.333333333
Dickson,2019-2020,266740,530,50,25.025,8.675
Dickson,2020-2021,226620,937,90,29.50833333,9.625
Dickson,2021-2022,208898,677,107,24.48333333,9.641666667
Dickson,2022-2023,190180,1071,197,28.68666667,10.46666667
Dickson,2023-2024,221890,568,147,41.20833333,17.875
Dyer,2019-2020,115928.5,115928.5,10,61.205,5.5
Dyer,2020-2021,155975,155475,14,58.35833333,1.391666667
Dyer,2021-2022,107287,107287,1,27.81666667,2.108333333
Dyer,2022-2023,61140,55605,7,17.54166667,2.983333333
Dyer,2023-2024,61628,61628,3,20.25,0.9375
Fayette,2019-2020,63780,0,21,37.42666667,0.616666667
Fayette,2020-2021,91080,0,15,65.39833333,1.041666667
Fayette,2021-2022,79400,0,3,62.965,0
Fayette,2022-2023,71900,0,0,66.885,0
Fayette,2023-2024,97960,0,1,66.5525,0
Fentress,2019-2020,112962.5,0,1,55.14583333,1513.3125
Fentress,2020-2021,138141,0,0,32.83333333,136
Fentress,2021-2022,145321,0,0,43.58333333,238.5
Fentress,2022-2023,184832,21.3,1,72.64583333,141.0833333
Fentress,2023-2024,102735,0,0,60.66666667,52.16666667
Franklin,2019-2020,246020,1,25,131.2166667,0
