county,year,litter,recycled,dumps,partners,volunteer_hours,county_road_miles,litter_per_mile,recycled_per_mile
Anderson,2019-2020,49916.0,39523.0,0,211,888.5,74.9,666.4352469959946,527.6769025367156
Anderson,2020-2021,35852.0,24566.0,31,137,275.0,74.9,478.66488651535377,327.9839786381842
Anderson,2021-2022,35312.0,30214.0,76,135,555.0,74.9,471.4552736982643,403.3911882510013
Anderson,2022-2023,30720.0,16864.0,55,271,746.5,74.9,410.14686248331105,225.15353805073428
Anderson,2023-2024,52969.0,18297.0,92,295,830.5,74.9,707.196261682243,244.28571428571428
Bedford,2019-2020,74672.0,31011.0,0,0,0.0,239.78,311.41880056718657,129.33105346567686
Bedford,2020-2021,45605.0,11667.0,0,0,0.0,239.78,190.19517891400452,48.65710234381516
Bedford,2021-2022,58605.0,15025.0,10,0,0.0,239.78,244.41154391525566,62.661606472599885
Bedford,2022-2023,108140.35,43585.0,37,0,0.0,239.78,450.99820668946535,181.77078989073317
Bedford,2023-2024,165960.0,50595.0,24,0,0.0,239.78,692.1344565852031,211.005922095254
Benton,2019-2020,37060.0,3056.0,39,0,0.0,83.3,444.8979591836735,36.68667466986795
Benton,2020-2021,46940.0,0.0,71,40,3.0,83.3,563.5054021608644,0.0
Benton,2021-2022,38984.0,0.0,1,0,0.0,83.3,467.9951980792317,0.0
Benton,2022-2023,26640.0,1.0,5,10,0.0,83.3,319.8079231692677,0.012004801920768308
Benton,2023-2024,16882.56,0.0,3,0,0.0,83.3,202.67178871548623,0.0
Bledsoe,2019-2020,55698.0,7342.0,0,0,0.0,2406.0,23.149625935162096,3.051537822111388
Bledsoe,2020-2021,51847.0,5099.0,0,0,0.0,2406.0,21.549044056525354,2.119285120532003
Bledsoe,2021-2022,87772.0,5097.0,2,0,0.0,2406.0,36.4804655029094,2.1184538653366585
Bledsoe,2022-2023,49947.0,4423.0,0,0,0.0,2406.0,20.75935162094763,1.8383208645054032
Bledsoe,2023-2024,48682.0,6942.0,0,0,0.0,2406.0,20.233582709891937,2.885286783042394
Blount,2019-2020,394400.0,0.0,110,312,801.0,151.0,2611.9205298013244,0.0
Blount,2020-2021,470200.0,0.0,139,581,1374.0,151.0,3113.907284768212,0.0
Blount,2021-2022,432340.0,0.0,153,553,1167.5,151.0,2863.17880794702,0.0
Blount,2022-2023,612160.0,0.0,137,603,1289.0,151.0,4054.0397350993376,0.0
Blount,2023-2024,384570.0,0.0,114,792,1616.0,151.0,2546.82119205298,0.0
Bradley,2019-2020,229420.0,19790.0,2,30,82.0,777.0,295.2638352638353,25.46975546975547
Bradley,2020-2021,232000.0,20030.0,0,0,0.0,777.0,298.5842985842986,25.778635778635778
Bradley,2021-2022,159580.0,11110.0,0,0,0.0,777.0,205.37966537966537,14.298584298584299
Bradley,2022-2023,180012.0,34000.0,10,21,126.6,777.0,231.67567567567568,43.758043758043755
Bradley,2023-2024,195720.0,13020.0,2,36,72.0,777.0,251.8918918918919,16.756756756756758
Campbell,2019-2020,74040.0,69720.0,50,502,3907.0,87.0,851.0344827586207,801.3793103448276
Campbell,2020-2021,61680.0,61680.0,53,40,1183.0,87.0,708.9655172413793,708.9655172413793
Campbell,2021-2022,56340.0,56340.0,28,275,2600.0,87.0,647.5862068965517,647.5862068965517
Campbell,2022-2023,68000.0,62285.0,36,243,1952.0,87.0,781.6091954022988,715.919540229885
Campbell,2023-2024,88580.0,90205.0,44,219,1778.0,87.0,1018.1609195402299,1036.83908045977
Cannon,2019-2020,68940.0,4.0,5,0,0.0,1497.0,46.052104208416836,0.0026720106880427524
Cannon,2020-2021,62480.0,0.0,0,0,0.0,1497.0,41.73680694722779,0.0
Cannon,2021-2022,66750.0,0.0,5,0,0.0,1497.0,44.589178356713425,0.0
Cannon,2022-2023,56850.0,0.0,0,0,0.0,1497.0,37.97595190380761,0.0
Cannon,2023-2024,59200.0,0.0,0,0,0.0,1497.0,39.54575818303273,0.0
Carroll,2019-2020,78240.68,315.0,16,1,1.0,49.0,1596.7485714285713,6.428571428571429
