county,year,month,litter,recycled,dumps,county_rd_miles,state_rd_miles,partners,volunteer_hours
Anderson,2019-2020,July,3321.0,3019.0,0,24.3,1.3,7,39.0
Anderson,2019-2020,Aug,6789.0,6162.0,0,61.0,13.0,40,208.0
Anderson,2019-2020,Sept,5050.0,4065.0,0,55.0,18.0,0,0.0
Anderson,2019-2020,Oct,6297.0,5047.0,0,74.9,3.0,38,164.5
Anderson,2019-2020,Nov,940.0,0.0,0,0.0,10.0,28,75.0
Anderson,2019-2020,Dec,5067.0,4101.0,0,32.9,12.0,14,113.0
Anderson,2019-2020,Jan,7825.0,6216.0,0,45.1,0.0,30,43.0
Anderson,2019-2020,Feb,4198.0,3349.0,0,25.1,0.0,25,52.0
Anderson,2019-2020,Mar,4529.0,3614.0,0,23.3,0.0,0,0.0
Anderson,2019-2020,Apr,880.0,0.0,0,0.0,22.0,0,0.0
Anderson,2019-2020,May,2662.0,2096.0,0,18.2,31.0,0,0.0
Anderson,2019-2020,June,2358.0,1854.0,0,16.5,0.0,29,194.0
Bedford,2019-2020,July,9240.0,3080.0,0,189.0,0.0,0,0.0
Bedford,2019-2020,Aug,9000.0,4580.0,0,198.0,0.0,0,0.0
Bedford,2019-2020,Sept,7260.0,3960.0,0,149.0,0.0,0,0.0
Bedford,2019-2020,Oct,16340.0,6570.0,0,228.7,0.0,0,0.0
Bedford,2019-2020,Nov,8500.0,4660.0,0,118.0,0.0,0,0.0
Bedford,2019-2020,Dec,5280.0,2560.0,0,49.0,0.0,0,0.0
Bedford,2019-2020,Jan,2880.0,460.0,0,27.88,0.0,0,0.0
Bedford,2019-2020,Feb,8652.0,2261.0,0,82.75,0.0,0,0.0
Bedford,2019-2020,Mar,7520.0,2880.0,0,69.85,0.0,0,0.0
Bedford,2019-2020,Apr,0.0,0.0,0,0.0,0.0,0,0.0
Bedford,2019-2020,May,0.0,0.0,0,0.0,0.0,0,0.0
Bedford,2019-2020,June,0.0,0.0,0,0.0,0.0,0,0.0
Benton,2019-2020,July,2780.0,0.0,9,10.2,0.0,0,0.0
