year,month,litter,recycled,dumps,county_rd_miles,state_rd_miles,partners,volunteer_hours
2019-2020,July,1962002.75,737424.75,351,34425.63,5181.2,1067,3273.75
2019-2020,Aug,1872488.5,796250.5,246,33919.51,23330.7,424,1571.5
2019-2020,Sept,1689475.2,597938.2,598,32225.2,4736.86,1784,4134.0
2019-2020,Oct,2079362.0,666238.2,351,32511.55,21325.739999999998,2329,5374.25
2019-2020,Nov,1833425.0,764474.5,405,25507.27,3734.0099999999998,749,4665.0
2019-2020,Dec,1899102.68,817324.0,311,28746.79,2708.71,249,1477.5
2019-2020,Jan,2125713.07,758539.07,313,29452.72,2970.925638,856,3297.0
2019-2020,Feb,1793146.15,682407.0,331,25908.879999999997,2948.48,285,1249.0
2019-2020,Mar,1974902.4,618633.7,247,27836.2,3034.71,252,1126.25
2019-2020,Apr,1061349.5,60547.0,183,23215.97,3860.7000000000003,241,1033.0
2019-2020,May,1657650.0,441029.0,317,24522.17,3947.2,193,611.1
2019-2020,June,1319772.1600000001,644435.0,308,29197.54,25080.22,234,750.25
